"09654: Priser på drivstoff (kroner per liter), etter petroleumsprodukt og måned"
"petroleumsprodukt";"Priser (kr per liter) 1986M08";"Priser (kr per liter) 1986M09";"Priser (kr per liter) 1986M10";"Priser (kr per liter) 1986M11";"Priser (kr per liter) 1986M12";"Priser (kr per liter) 1987M01";"Priser (kr per liter) 1987M02";"Priser (kr per liter) 1987M03";"Priser (kr per liter) 1987M04";"Priser (kr per liter) 1987M05";"Priser (kr per liter) 1987M06";"Priser (kr per liter) 1987M07";"Priser (kr per liter) 1987M08";"Priser (kr per liter) 1987M09";"Priser (kr per liter) 1987M10";"Priser (kr per liter) 1987M11";"Priser (kr per liter) 1987M12";"Priser (kr per liter) 1988M01";"Priser (kr per liter) 1988M02";"Priser (kr per liter) 1988M03";"Priser (kr per liter) 1988M04";"Priser (kr per liter) 1988M05";"Priser (kr per liter) 1988M06";"Priser (kr per liter) 1988M07";"Priser (kr per liter) 1988M08";"Priser (kr per liter) 1988M09";"Priser (kr per liter) 1988M10";"Priser (kr per liter) 1988M11";"Priser (kr per liter) 1988M12";"Priser (kr per liter) 1989M01";"Priser (kr per liter) 1989M02";"Priser (kr per liter) 1989M03";"Priser (kr per liter) 1989M04";"Priser (kr per liter) 1989M05";"Priser (kr per liter) 1989M06";"Priser (kr per liter) 1989M07";"Priser (kr per liter) 1989M08";"Priser (kr per liter) 1989M09";"Priser (kr per liter) 1989M10";"Priser (kr per liter) 1989M11";"Priser (kr per liter) 1989M12";"Priser (kr per liter) 1990M01";"Priser (kr per liter) 1990M02";"Priser (kr per liter) 1990M03";"Priser (kr per liter) 1990M04";"Priser (kr per liter) 1990M05";"Priser (kr per liter) 1990M06";"Priser (kr per liter) 1990M07";"Priser (kr per liter) 1990M08";"Priser (kr per liter) 1990M09";"Priser (kr per liter) 1990M10";"Priser (kr per liter) 1990M11";"Priser (kr per liter) 1990M12";"Priser (kr per liter) 1991M01";"Priser (kr per liter) 1991M02";"Priser (kr per liter) 1991M03";"Priser (kr per liter) 1991M04";"Priser (kr per liter) 1991M05";"Priser (kr per liter) 1991M06";"Priser (kr per liter) 1991M07";"Priser (kr per liter) 1991M08";"Priser (kr per liter) 1991M09";"Priser (kr per liter) 1991M10";"Priser (kr per liter) 1991M11";"Priser (kr per liter) 1991M12";"Priser (kr per liter) 1992M01";"Priser (kr per liter) 1992M02";"Priser (kr per liter) 1992M03";"Priser (kr per liter) 1992M04";"Priser (kr per liter) 1992M05";"Priser (kr per liter) 1992M06";"Priser (kr per liter) 1992M07";"Priser (kr per liter) 1992M08";"Priser (kr per liter) 1992M09";"Priser (kr per liter) 1992M10";"Priser (kr per liter) 1992M11";"Priser (kr per liter) 1992M12";"Priser (kr per liter) 1993M01";"Priser (kr per liter) 1993M02";"Priser (kr per liter) 1993M03";"Priser (kr per liter) 1993M04";"Priser (kr per liter) 1993M05";"Priser (kr per liter) 1993M06";"Priser (kr per liter) 1993M07";"Priser (kr per liter) 1993M08";"Priser (kr per liter) 1993M09";"Priser (kr per liter) 1993M10";"Priser (kr per liter) 1993M11";"Priser (kr per liter) 1993M12";"Priser (kr per liter) 1994M01";"Priser (kr per liter) 1994M02";"Priser (kr per liter) 1994M03";"Priser (kr per liter) 1994M04";"Priser (kr per liter) 1994M05";"Priser (kr per liter) 1994M06";"Priser (kr per liter) 1994M07";"Priser (kr per liter) 1994M08";"Priser (kr per liter) 1994M09";"Priser (kr per liter) 1994M10";"Priser (kr per liter) 1994M11";"Priser (kr per liter) 1994M12";"Priser (kr per liter) 1995M01";"Priser (kr per liter) 1995M02";"Priser (kr per liter) 1995M03";"Priser (kr per liter) 1995M04";"Priser (kr per liter) 1995M05";"Priser (kr per liter) 1995M06";"Priser (kr per liter) 1995M07";"Priser (kr per liter) 1995M08";"Priser (kr per liter) 1995M09";"Priser (kr per liter) 1995M10";"Priser (kr per liter) 1995M11";"Priser (kr per liter) 1995M12";"Priser (kr per liter) 1996M01";"Priser (kr per liter) 1996M02";"Priser (kr per liter) 1996M03";"Priser (kr per liter) 1996M04";"Priser (kr per liter) 1996M05";"Priser (kr per liter) 1996M06";"Priser (kr per liter) 1996M07";"Priser (kr per liter) 1996M08";"Priser (kr per liter) 1996M09";"Priser (kr per liter) 1996M10";"Priser (kr per liter) 1996M11";"Priser (kr per liter) 1996M12";"Priser (kr per liter) 1997M01";"Priser (kr per liter) 1997M02";"Priser (kr per liter) 1997M03";"Priser (kr per liter) 1997M04";"Priser (kr per liter) 1997M05";"Priser (kr per liter) 1997M06";"Priser (kr per liter) 1997M07";"Priser (kr per liter) 1997M08";"Priser (kr per liter) 1997M09";"Priser (kr per liter) 1997M10";"Priser (kr per liter) 1997M11";"Priser (kr per liter) 1997M12";"Priser (kr per liter) 1998M01";"Priser (kr per liter) 1998M02";"Priser (kr per liter) 1998M03";"Priser (kr per liter) 1998M04";"Priser (kr per liter) 1998M05";"Priser (kr per liter) 1998M06";"Priser (kr per liter) 1998M07";"Priser (kr per liter) 1998M08";"Priser (kr per liter) 1998M09";"Priser (kr per liter) 1998M10";"Priser (kr per liter) 1998M11";"Priser (kr per liter) 1998M12";"Priser (kr per liter) 1999M01";"Priser (kr per liter) 1999M02";"Priser (kr per liter) 1999M03";"Priser (kr per liter) 1999M04";"Priser (kr per liter) 1999M05";"Priser (kr per liter) 1999M06";"Priser (kr per liter) 1999M07";"Priser (kr per liter) 1999M08";"Priser (kr per liter) 1999M09";"Priser (kr per liter) 1999M10";"Priser (kr per liter) 1999M11";"Priser (kr per liter) 1999M12";"Priser (kr per liter) 2000M01";"Priser (kr per liter) 2000M02";"Priser (kr per liter) 2000M03";"Priser (kr per liter) 2000M04";"Priser (kr per liter) 2000M05";"Priser (kr per liter) 2000M06";"Priser (kr per liter) 2000M07";"Priser (kr per liter) 2000M08";"Priser (kr per liter) 2000M09";"Priser (kr per liter) 2000M10";"Priser (kr per liter) 2000M11";"Priser (kr per liter) 2000M12";"Priser (kr per liter) 2001M01";"Priser (kr per liter) 2001M02";"Priser (kr per liter) 2001M03";"Priser (kr per liter) 2001M04";"Priser (kr per liter) 2001M05";"Priser (kr per liter) 2001M06";"Priser (kr per liter) 2001M07";"Priser (kr per liter) 2001M08";"Priser (kr per liter) 2001M09";"Priser (kr per liter) 2001M10";"Priser (kr per liter) 2001M11";"Priser (kr per liter) 2001M12";"Priser (kr per liter) 2002M01";"Priser (kr per liter) 2002M02";"Priser (kr per liter) 2002M03";"Priser (kr per liter) 2002M04";"Priser (kr per liter) 2002M05";"Priser (kr per liter) 2002M06";"Priser (kr per liter) 2002M07";"Priser (kr per liter) 2002M08";"Priser (kr per liter) 2002M09";"Priser (kr per liter) 2002M10";"Priser (kr per liter) 2002M11";"Priser (kr per liter) 2002M12";"Priser (kr per liter) 2003M01";"Priser (kr per liter) 2003M02";"Priser (kr per liter) 2003M03";"Priser (kr per liter) 2003M04";"Priser (kr per liter) 2003M05";"Priser (kr per liter) 2003M06";"Priser (kr per liter) 2003M07";"Priser (kr per liter) 2003M08";"Priser (kr per liter) 2003M09";"Priser (kr per liter) 2003M10";"Priser (kr per liter) 2003M11";"Priser (kr per liter) 2003M12";"Priser (kr per liter) 2004M01";"Priser (kr per liter) 2004M02";"Priser (kr per liter) 2004M03";"Priser (kr per liter) 2004M04";"Priser (kr per liter) 2004M05";"Priser (kr per liter) 2004M06";"Priser (kr per liter) 2004M07";"Priser (kr per liter) 2004M08";"Priser (kr per liter) 2004M09";"Priser (kr per liter) 2004M10";"Priser (kr per liter) 2004M11";"Priser (kr per liter) 2004M12";"Priser (kr per liter) 2005M01";"Priser (kr per liter) 2005M02";"Priser (kr per liter) 2005M03";"Priser (kr per liter) 2005M04";"Priser (kr per liter) 2005M05";"Priser (kr per liter) 2005M06";"Priser (kr per liter) 2005M07";"Priser (kr per liter) 2005M08";"Priser (kr per liter) 2005M09";"Priser (kr per liter) 2005M10";"Priser (kr per liter) 2005M11";"Priser (kr per liter) 2005M12";"Priser (kr per liter) 2006M01";"Priser (kr per liter) 2006M02";"Priser (kr per liter) 2006M03";"Priser (kr per liter) 2006M04";"Priser (kr per liter) 2006M05";"Priser (kr per liter) 2006M06";"Priser (kr per liter) 2006M07";"Priser (kr per liter) 2006M08";"Priser (kr per liter) 2006M09";"Priser (kr per liter) 2006M10";"Priser (kr per liter) 2006M11";"Priser (kr per liter) 2006M12";"Priser (kr per liter) 2007M01";"Priser (kr per liter) 2007M02";"Priser (kr per liter) 2007M03";"Priser (kr per liter) 2007M04";"Priser (kr per liter) 2007M05";"Priser (kr per liter) 2007M06";"Priser (kr per liter) 2007M07";"Priser (kr per liter) 2007M08";"Priser (kr per liter) 2007M09";"Priser (kr per liter) 2007M10";"Priser (kr per liter) 2007M11";"Priser (kr per liter) 2007M12";"Priser (kr per liter) 2008M01";"Priser (kr per liter) 2008M02";"Priser (kr per liter) 2008M03";"Priser (kr per liter) 2008M04";"Priser (kr per liter) 2008M05";"Priser (kr per liter) 2008M06";"Priser (kr per liter) 2008M07";"Priser (kr per liter) 2008M08";"Priser (kr per liter) 2008M09";"Priser (kr per liter) 2008M10";"Priser (kr per liter) 2008M11";"Priser (kr per liter) 2008M12";"Priser (kr per liter) 2009M01";"Priser (kr per liter) 2009M02";"Priser (kr per liter) 2009M03";"Priser (kr per liter) 2009M04";"Priser (kr per liter) 2009M05";"Priser (kr per liter) 2009M06";"Priser (kr per liter) 2009M07";"Priser (kr per liter) 2009M08";"Priser (kr per liter) 2009M09";"Priser (kr per liter) 2009M10";"Priser (kr per liter) 2009M11";"Priser (kr per liter) 2009M12";"Priser (kr per liter) 2010M01";"Priser (kr per liter) 2010M02";"Priser (kr per liter) 2010M03";"Priser (kr per liter) 2010M04";"Priser (kr per liter) 2010M05";"Priser (kr per liter) 2010M06";"Priser (kr per liter) 2010M07";"Priser (kr per liter) 2010M08";"Priser (kr per liter) 2010M09";"Priser (kr per liter) 2010M10";"Priser (kr per liter) 2010M11";"Priser (kr per liter) 2010M12";"Priser (kr per liter) 2011M01";"Priser (kr per liter) 2011M02";"Priser (kr per liter) 2011M03";"Priser (kr per liter) 2011M04";"Priser (kr per liter) 2011M05";"Priser (kr per liter) 2011M06";"Priser (kr per liter) 2011M07";"Priser (kr per liter) 2011M08";"Priser (kr per liter) 2011M09";"Priser (kr per liter) 2011M10";"Priser (kr per liter) 2011M11";"Priser (kr per liter) 2011M12";"Priser (kr per liter) 2012M01";"Priser (kr per liter) 2012M02";"Priser (kr per liter) 2012M03";"Priser (kr per liter) 2012M04";"Priser (kr per liter) 2012M05";"Priser (kr per liter) 2012M06";"Priser (kr per liter) 2012M07";"Priser (kr per liter) 2012M08";"Priser (kr per liter) 2012M09";"Priser (kr per liter) 2012M10";"Priser (kr per liter) 2012M11";"Priser (kr per liter) 2012M12";"Priser (kr per liter) 2013M01";"Priser (kr per liter) 2013M02";"Priser (kr per liter) 2013M03";"Priser (kr per liter) 2013M04";"Priser (kr per liter) 2013M05";"Priser (kr per liter) 2013M06";"Priser (kr per liter) 2013M07";"Priser (kr per liter) 2013M08";"Priser (kr per liter) 2013M09";"Priser (kr per liter) 2013M10";"Priser (kr per liter) 2013M11";"Priser (kr per liter) 2013M12";"Priser (kr per liter) 2014M01";"Priser (kr per liter) 2014M02";"Priser (kr per liter) 2014M03";"Priser (kr per liter) 2014M04";"Priser (kr per liter) 2014M05";"Priser (kr per liter) 2014M06";"Priser (kr per liter) 2014M07";"Priser (kr per liter) 2014M08";"Priser (kr per liter) 2014M09";"Priser (kr per liter) 2014M10";"Priser (kr per liter) 2014M11";"Priser (kr per liter) 2014M12";"Priser (kr per liter) 2015M01";"Priser (kr per liter) 2015M02";"Priser (kr per liter) 2015M03";"Priser (kr per liter) 2015M04";"Priser (kr per liter) 2015M05";"Priser (kr per liter) 2015M06";"Priser (kr per liter) 2015M07";"Priser (kr per liter) 2015M08";"Priser (kr per liter) 2015M09";"Priser (kr per liter) 2015M10";"Priser (kr per liter) 2015M11";"Priser (kr per liter) 2015M12";"Priser (kr per liter) 2016M01";"Priser (kr per liter) 2016M02";"Priser (kr per liter) 2016M03";"Priser (kr per liter) 2016M04";"Priser (kr per liter) 2016M05";"Priser (kr per liter) 2016M06";"Priser (kr per liter) 2016M07";"Priser (kr per liter) 2016M08";"Priser (kr per liter) 2016M09";"Priser (kr per liter) 2016M10";"Priser (kr per liter) 2016M11";"Priser (kr per liter) 2016M12";"Priser (kr per liter) 2017M01";"Priser (kr per liter) 2017M02";"Priser (kr per liter) 2017M03";"Priser (kr per liter) 2017M04";"Priser (kr per liter) 2017M05";"Priser (kr per liter) 2017M06";"Priser (kr per liter) 2017M07";"Priser (kr per liter) 2017M08";"Priser (kr per liter) 2017M09";"Priser (kr per liter) 2017M10";"Priser (kr per liter) 2017M11";"Priser (kr per liter) 2017M12";"Priser (kr per liter) 2018M01";"Priser (kr per liter) 2018M02";"Priser (kr per liter) 2018M03";"Priser (kr per liter) 2018M04";"Priser (kr per liter) 2018M05";"Priser (kr per liter) 2018M06";"Priser (kr per liter) 2018M07";"Priser (kr per liter) 2018M08";"Priser (kr per liter) 2018M09";"Priser (kr per liter) 2018M10";"Priser (kr per liter) 2018M11";"Priser (kr per liter) 2018M12";"Priser (kr per liter) 2019M01";"Priser (kr per liter) 2019M02";"Priser (kr per liter) 2019M03";"Priser (kr per liter) 2019M04";"Priser (kr per liter) 2019M05";"Priser (kr per liter) 2019M06";"Priser (kr per liter) 2019M07";"Priser (kr per liter) 2019M08";"Priser (kr per liter) 2019M09";"Priser (kr per liter) 2019M10";"Priser (kr per liter) 2019M11";"Priser (kr per liter) 2019M12";"Priser (kr per liter) 2020M01";"Priser (kr per liter) 2020M02";"Priser (kr per liter) 2020M03";"Priser (kr per liter) 2020M04";"Priser (kr per liter) 2020M05";"Priser (kr per liter) 2020M06";"Priser (kr per liter) 2020M07";"Priser (kr per liter) 2020M08";"Priser (kr per liter) 2020M09";"Priser (kr per liter) 2020M10";"Priser (kr per liter) 2020M11";"Priser (kr per liter) 2020M12";"Priser (kr per liter) 2021M01";"Priser (kr per liter) 2021M02";"Priser (kr per liter) 2021M03";"Priser (kr per liter) 2021M04";"Priser (kr per liter) 2021M05";"Priser (kr per liter) 2021M06";"Priser (kr per liter) 2021M07";"Priser (kr per liter) 2021M08";"Priser (kr per liter) 2021M09";"Priser (kr per liter) 2021M10";"Priser (kr per liter) 2021M11";"Priser (kr per liter) 2021M12";"Priser (kr per liter) 2022M01";"Priser (kr per liter) 2022M02";"Priser (kr per liter) 2022M03";"Priser (kr per liter) 2022M04";"Priser (kr per liter) 2022M05";"Priser (kr per liter) 2022M06";"Priser (kr per liter) 2022M07";"Priser (kr per liter) 2022M08";"Priser (kr per liter) 2022M09";"Priser (kr per liter) 2022M10";"Priser (kr per liter) 2022M11";"Priser (kr per liter) 2022M12";"Priser (kr per liter) 2023M01";"Priser (kr per liter) 2023M02";"Priser (kr per liter) 2023M03";"Priser (kr per liter) 2023M04";"Priser (kr per liter) 2023M05";"Priser (kr per liter) 2023M06";"Priser (kr per liter) 2023M07";"Priser (kr per liter) 2023M08";"Priser (kr per liter) 2023M09";"Priser (kr per liter) 2023M10";"Priser (kr per liter) 2023M11";"Priser (kr per liter) 2023M12";"Priser (kr per liter) 2024M01";"Priser (kr per liter) 2024M02";"Priser (kr per liter) 2024M03";"Priser (kr per liter) 2024M04";"Priser (kr per liter) 2024M05";"Priser (kr per liter) 2024M06";"Priser (kr per liter) 2024M07";"Priser (kr per liter) 2024M08";"Priser (kr per liter) 2024M09";"Priser (kr per liter) 2024M10";"Priser (kr per liter) 2024M11";"Priser (kr per liter) 2024M12";"Priser (kr per liter) 2025M01";"Priser (kr per liter) 2025M02";"Priser (kr per liter) 2025M03";"Priser (kr per liter) 2025M04";"Priser (kr per liter) 2025M05";"Priser (kr per liter) 2025M06";"Priser (kr per liter) 2025M07";"Priser (kr per liter) 2025M08";"Priser (kr per liter) 2025M09";"Priser (kr per liter) 2025M10";"Priser (kr per liter) 2025M11";"Priser (kr per liter) 2025M12";"Priser (kr per liter) 2026M01";"Priser (kr per liter) 2026M02";"Priser (kr per liter) 2026M03";"Priser (kr per liter) 2026M04";"Priser (kr per liter) 2026M05";"Priser (kr per liter) 2026M06";"Priser (kr per liter) 2026M07";"Priser (kr per liter) 2026M08"
"Bensin, blyfri 95 oktan";4.44;4.44;4.43;4.42;4.42;4.65;4.72;4.64;4.65;4.63;4.65;4.64;4.72;4.71;4.63;4.61;4.60;4.80;4.79;4.78;4.73;4.72;4.77;4.77;4.77;4.86;4.83;4.83;4.80;4.90;4.92;4.92;5.00;5.24;5.29;5.30;5.20;5.20;5.20;5.23;5.20;5.40;5.50;5.48;5.11;5.04;5.04;5.37;5.54;5.85;6.30;6.20;5.89;6.44;6.04;6.23;6.29;6.43;6.48;6.59;6.51;6.49;6.47;6.47;6.34;6.54;6.50;6.60;6.64;6.68;6.71;6.84;6.92;6.84;6.94;6.99;6.96;7.08;7.11;7.14;7.16;7.15;7.10;7.17;7.19;7.17;7.11;7.10;6.99;6.98;7.06;7.09;6.95;6.97;7.04;7.33;7.48;7.41;7.29;7.37;7.27;7.58;7.58;7.58;7.62;7.70;7.70;7.61;7.61;7.66;7.59;7.67;7.64;7.74;7.74;7.83;8.05;8.11;7.87;7.75;7.73;7.48;7.72;7.68;7.49;8.09;8.09;8.18;8.17;8.57;8.36;8.39;8.46;8.43;8.51;8.70;8.65;8.68;8.47;8.54;8.39;8.39;8.36;8.50;8.22;8.45;8.03;8.21;8.18;8.52;8.40;8.50;8.77;8.92;8.89;9.08;9.30;9.32;9.04;9.26;9.62;9.59;9.61;10.22;10.09;10.25;10.85;10.74;10.30;10.79;10.46;10.47;10.00;9.41;9.70;9.56;9.86;10.42;9.97;9.11;9.02;9.20;8.74;8.33;8.23;8.53;8.57;8.78;9.25;8.99;8.83;8.81;8.94;9.12;9.04;8.89;8.89;8.99;9.48;9.56;9.30;8.71;8.83;9.13;9.30;9.19;8.99;9.12;8.88;8.89;9.25;9.56;9.54;10.04;9.93;10.17;10.13;9.61;10.06;9.72;9.55;9.68;9.83;10.02;10.66;10.56;10.66;11.05;11.06;11.45;11.23;10.60;10.72;11.13;11.13;11.15;11.70;11.86;11.87;12.32;12.27;11.36;11.03;10.81;10.84;10.80;10.92;11.29;11.66;12.09;12.06;12.18;11.90;11.69;11.39;12.19;12.02;12.19;12.27;12.50;12.44;12.99;13.04;13.80;13.19;13.14;12.59;11.34;10.34;10.75;10.94;10.84;11.33;11.70;12.43;12.13;12.39;12.27;11.84;12.13;12.11;12.38;12.03;12.74;12.96;12.89;12.79;12.72;12.47;12.45;12.57;12.76;13.22;13.33;13.43;13.94;14.23;14.29;14.26;14.21;14.06;14.02;13.95;13.83;13.80;14.36;14.71;15.05;15.45;14.88;14.56;14.55;14.83;15.22;14.85;14.32;14.21;14.41;14.65;14.65;14.51;14.54;14.61;15.07;15.07;15.05;14.81;14.63;14.68;14.91;14.84;14.71;14.69;15.03;14.97;15.29;15.12;14.96;14.60;14.48;13.72;13.78;13.55;13.95;14.28;13.99;14.69;14.92;14.04;13.69;13.50;13.55;13.29;13.29;12.93;13.41;13.53;13.57;14.02;13.88;13.63;13.47;13.33;13.69;13.89;14.94;14.87;14.61;14.28;14.38;14.69;14.58;14.79;15.05;14.25;14.96;14.23;15.02;15.23;14.93;15.21;15.95;15.65;15.83;15.94;15.97;15.96;16.02;14.93;14.91;15.06;15.31;15.80;16.07;15.99;16.31;15.92;15.61;15.59;16.01;15.70;15.92;15.60;15.19;13.69;14.07;14.78;15.35;14.86;14.38;14.43;13.56;14.44;15.32;15.57;15.59;15.85;16.01;16.20;16.95;17.15;17.05;17.37;17.65;17.58;18.64;19.28;22.04;21.24;22.96;26.16;25.06;21.39;21.40;22.89;21.04;19.30;20.49;20.97;22.32;22.68;21.44;22.01;21.88;22.92;22.90;22.94;22.12;21.15;20.44;21.92;21.35;22.44;23.28;23.41;22.56;21.98;21.81;21.85;22.21;21.86;21.52;21.27;20.40;19.76;19.95;19.63;21.21;21.17;20.78;21.17;20.52;20.78;20.47;19.68;23.50;19.32;19.15;18.43;19.59;19.42
"Avgiftspliktig diesel";1.97;1.93;1.96;1.87;1.86;2.13;2.20;2.10;2.10;2.08;2.10;2.10;2.17;2.17;2.17;2.15;2.14;2.25;2.25;2.24;2.23;2.22;2.20;2.18;2.18;2.20;2.16;2.14;2.09;2.18;2.21;2.26;2.30;2.42;2.49;2.49;2.46;2.44;2.44;2.47;2.53;2.70;2.77;2.74;2.58;2.63;2.57;2.55;2.71;3.09;3.56;3.57;3.36;3.65;3.65;3.59;3.29;3.36;3.04;3.37;3.40;3.38;3.44;3.50;3.36;3.26;3.29;3.28;3.03;3.38;3.40;3.17;3.12;3.06;3.20;3.03;3.28;3.32;3.33;3.04;3.39;3.37;3.32;3.30;3.33;3.33;6.22;6.22;6.22;6.41;6.44;6.46;6.41;6.44;6.45;6.45;6.46;6.40;6.66;6.68;6.74;7.06;7.07;7.03;7.06;7.06;7.02;6.92;6.90;7.01;7.02;7.04;7.09;7.27;7.30;7.43;7.55;7.43;7.37;7.34;7.39;7.49;7.85;7.70;7.18;7.71;7.61;7.43;7.33;7.65;7.61;7.58;7.65;7.63;7.77;7.74;7.88;7.90;7.85;7.81;7.83;7.79;7.75;7.72;7.73;7.73;7.78;7.69;7.64;7.75;7.72;7.73;8.01;8.02;7.93;8.12;8.33;8.39;8.48;8.59;8.97;9.60;9.52;9.60;9.40;9.49;9.69;9.58;9.57;10.22;10.19;10.19;10.04;9.05;9.18;8.86;8.79;8.83;8.77;8.41;8.24;8.38;8.03;8.01;7.92;8.05;7.93;8.02;8.15;8.05;7.86;7.89;7.81;8.02;8.14;7.95;8.11;8.30;8.55;9.34;8.03;7.89;7.95;8.06;8.20;8.04;8.06;8.14;8.01;8.12;8.01;8.05;8.09;8.03;8.36;8.48;8.73;8.38;9.04;8.82;8.55;8.84;8.72;9.21;9.57;9.46;9.68;9.95;9.88;9.84;10.02;9.61;9.74;10.00;10.00;10.26;10.39;10.04;10.30;10.57;10.42;10.51;10.07;9.98;9.99;9.71;10.00;10.03;10.24;9.90;10.16;10.03;10.38;10.43;10.24;11.29;11.46;11.27;11.63;12.22;12.05;12.88;13.32;13.72;12.93;12.81;12.36;11.50;10.64;10.99;10.45;10.00;10.45;10.60;10.80;10.79;11.02;10.88;10.60;11.06;10.96;11.43;11.22;11.58;11.80;11.83;11.78;11.70;11.57;11.62;11.85;12.14;12.59;12.69;13.00;13.36;13.45;13.10;13.16;13.22;13.09;12.95;13.02;13.18;13.13;13.47;13.54;13.53;13.63;13.23;12.87;12.76;13.14;13.34;13.21;13.02;12.90;13.03;13.20;13.08;12.72;12.87;12.88;13.03;13.29;13.46;13.44;13.29;13.34;13.49;13.43;13.20;12.99;13.18;13.02;13.25;13.25;13.06;12.82;13.00;12.57;12.46;12.14;12.47;12.67;12.03;12.63;12.60;11.90;12.06;12.05;12.00;11.75;11.61;10.95;11.86;11.41;11.21;11.96;12.06;11.64;11.57;11.46;11.97;12.25;13.87;13.80;13.50;12.93;13.06;13.36;13.30;13.55;13.62;12.90;14.01;13.39;14.37;14.46;14.12;14.34;15.16;14.84;14.94;15.04;15.13;15.33;15.75;14.78;14.52;14.85;15.04;14.81;15.13;15.01;15.05;14.74;14.79;14.74;15.16;14.83;15.40;14.84;14.34;13.65;13.47;13.73;14.41;14.01;13.15;13.20;12.58;13.56;14.55;14.73;14.58;14.88;15.00;15.21;16.06;15.76;15.49;16.28;16.76;16.76;17.54;18.23;22.06;20.99;22.39;24.58;24.64;21.34;22.18;24.15;22.43;20.11;21.59;20.54;21.28;20.73;19.30;19.55;19.71;21.28;21.58;22.48;21.72;20.99;20.10;21.96;21.05;21.42;21.66;21.77;21.04;20.29;20.27;20.81;21.15;20.99;21.43;21.07;20.43;19.06;19.17;18.74;20.69;20.33;20.27;20.58;20.27;20.56;20.19;19.82;24.54;23.31;20.02;18.81;20.25;21.48
