"07500: Eksamenskarakterer, etter fag, innvandringskategori, år og kjønn"
"fag";"innvandringskategori";"Gjennomsnittlig eksamenskarakter 2026 Begge kjønn";"Gjennomsnittlig eksamenskarakter 2026 Jenter";"Gjennomsnittlig eksamenskarakter 2026 Gutter"
"Naturfag, muntlig";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";0.0;0.0;0.0
"Naturfag, muntlig";"Den øvrige befolkning";0.0;0.0;0.0
"Naturfag, muntlig-praktisk";"Alle elever";4.3;4.4;4.2
"Naturfag, muntlig-praktisk";"Innvandrere";3.8;3.9;3.7
"Naturfag, muntlig-praktisk";"Innvandrere fra EU/EFTA, USA, Canada, Australia og New Zealand";4.1;4.2;4.0
"Naturfag, muntlig-praktisk";"Innvandrere fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";3.7;3.8;3.6
"Naturfag, muntlig-praktisk";"Norskfødte med innvandrerforeldre";4.1;4.3;4.0
"Naturfag, muntlig-praktisk";"Norskfødte med innvandrerforeldre fra EU/EFTA, USA, Canada, Australia og New Zealand";4.3;4.6;4.2
"Naturfag, muntlig-praktisk";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";4.1;4.2;4.0
"Naturfag, muntlig-praktisk";"Den øvrige befolkning";4.4;4.5;4.3
"Norsk hovedmål, skriftlig";"Alle elever";3.5;3.8;3.2
"Norsk hovedmål, skriftlig";"Innvandrere";3.0;3.2;2.8
"Norsk hovedmål, skriftlig";"Innvandrere fra EU/EFTA, USA, Canada, Australia og New Zealand";3.3;3.6;3.1
"Norsk hovedmål, skriftlig";"Innvandrere fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";2.9;3.0;2.7
"Norsk hovedmål, skriftlig";"Norskfødte med innvandrerforeldre";3.3;3.6;3.0
"Norsk hovedmål, skriftlig";"Norskfødte med innvandrerforeldre fra EU/EFTA, USA, Canada, Australia og New Zealand";3.4;3.7;3.2
"Norsk hovedmål, skriftlig";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";3.3;3.5;3.0
"Norsk hovedmål, skriftlig";"Den øvrige befolkning";3.6;3.9;3.3
"Norsk sidemål, skriftlig";"Alle elever";3.5;3.7;3.3
"Norsk sidemål, skriftlig";"Innvandrere";3.2;3.4;3.0
"Norsk sidemål, skriftlig";"Innvandrere fra EU/EFTA, USA, Canada, Australia og New Zealand";3.3;3.6;3.1
"Norsk sidemål, skriftlig";"Innvandrere fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";3.1;3.4;2.9
"Norsk sidemål, skriftlig";"Norskfødte med innvandrerforeldre";3.3;3.6;3.1
